Relative Position,Position X,Position Y,ca-access-point,node14ap,ntua,\x00,ntuax,ntua,CNLab,CNLab,TestCN,ntuax,conference_room,TP-LINK_9FBBEF,TestCN,CNLab,ntuax,ntua,eduroam,Grafeio B.3.19,mlab1,TestCN,\x00,node19ap,ntua,NETMODE_2.4GHz,node20ap,ntua,TestCN,ntuax,ntua,CNLab,ntuax,MAC_Room,\x00,Emmanouella's Home,,CBS,awmn-240,GEOTUN,CNLab,,ntuax,ntua,\x00,ntuax,ntua
Relative Position,Position X,Position Y,2437,2437,2437,2462,2437,2412,2437,2412,2437,2412,2452,2462,2412,2412,2412,2412,2412,2472,2452,2412,2412,2412,2412,2432,2437,2437,2462,2462,2462,2462,2412,2452,2412,2412,2432,2452,2452,2437,2437,2462,2462,2462,2437,2437,2412
Relative Position,Position X,Position Y,00:0b:6b:de:ea:23,00:0b:6b:de:ea:36,00:23:eb:08:cf:c3,00:15:c7:ff:16:a5,00:23:eb:08:cf:c2,00:1e:7a:18:6c:40,00:23:eb:08:cf:c0,00:1e:7a:18:68:00,00:23:eb:08:cf:c1,00:1e:7a:18:68:03,0c:80:63:f5:1b:9c,c4:6e:1f:9f:bb:ef,78:ba:f9:94:79:b1,78:ba:f9:94:79:b0,78:ba:f9:94:79:b2,78:ba:f9:94:79:b3,00:1e:7a:18:6c:41,64:70:02:3c:a4:30,a0:04:60:73:60:d3,00:1e:7a:18:68:01,00:1e:7a:18:68:06,f4:ec:38:ed:14:25,00:1e:7a:18:68:02,e8:de:27:db:10:60,f4:ec:38:ed:10:fc,00:15:c7:ff:16:92,00:15:c7:ff:16:a1,00:15:c7:ff:16:a3,00:15:c7:ff:16:a2,00:15:c7:ff:16:a0,00:1e:7a:18:65:b1,b0:48:7a:bb:cc:6e,00:1e:7a:18:68:05,78:8a:20:21:49:dc,30:b5:c2:23:38:87,68:72:51:3e:d5:a6,00:0b:6b:34:96:a8,64:66:b3:58:27:8c,00:15:c7:ff:16:90,ec:08:6b:ab:73:70,00:26:99:34:3a:d1,00:26:99:34:3a:d0,00:15:c7:ff:16:96,00:15:c7:ff:16:93,00:1e:7a:18:65:b0
3,-5,15,-35,-48,-71,-72,-70,-76,-71,-86,-71,-87,-83,100,-86,100,-86,100,-77,-87,-86,-88,-86,-63,-88,-55,-58,100,-72,-71,-66,-71,-89,-89,-87,-89,100,100,100,100,100,100,100,100,100,100,100
3,-5,15,-41,-43,-66,-72,-66,-75,-70,-86,-70,-87,-84,100,-86,100,-86,100,-77,-87,-86,-88,-84,-68,-88,-57,-60,100,-63,-72,-63,-71,-89,-89,-87,-89,100,100,100,100,100,100,100,100,100,100,100
3,-5,15,-36,-49,-68,-65,-67,-72,-70,-86,-69,-87,-87,100,-86,100,-86,100,-72,-87,-86,-88,-84,-65,-88,-58,-59,100,-65,-66,-69,-65,-89,-89,-87,-89,100,100,100,100,100,100,100,100,100,100,100
3,-5,15,-39,-43,-68,-65,-67,-67,-70,-86,-66,-87,-87,100,-90,100,-86,100,-72,-87,-86,-84,-83,-66,-83,-62,-58,100,-66,-63,-63,-63,-89,-89,-87,-89,100,100,100,100,100,100,100,100,100,100,100
3,-5,15,-38,-45,-67,-64,-65,-62,-66,-86,-66,-87,-86,100,-90,100,-86,-86,-72,-87,-89,-84,-83,-66,-83,-59,-61,100,-64,-64,-69,-63,-89,-89,-87,-89,100,100,100,100,100,100,100,100,100,100,100
3,-5,15,-39,-41,-67,-64,-65,-72,-66,-86,-66,-87,-85,100,-90,100,-86,-86,-71,-87,-89,-84,-83,-67,-86,-59,-62,100,-62,-62,-61,-60,-89,-89,-87,-89,-88,100,100,100,100,100,100,100,100,100,100
3,-5,15,-39,-41,-67,-73,-66,-72,-66,-86,-73,-87,-85,100,-90,100,-86,-86,-71,-87,-89,-84,-83,-67,-86,-55,-62,100,-72,-71,-71,-70,-89,-89,-87,-89,-88,100,100,100,100,100,100,100,100,100,100
3,-5,15,-37,-47,-67,-73,-66,-67,-66,-86,-73,-87,-85,100,-87,100,-87,-86,-70,-87,-89,-86,-83,-69,-85,-56,-57,100,-71,-70,-69,-70,-89,-89,-87,-89,-88,100,100,100,100,100,100,100,100,100,100
3,-5,15,-38,-45,-71,-67,-71,-72,-66,-86,-72,-87,-88,100,-87,100,-87,-86,-73,-87,-89,-86,-83,-68,-85,-66,-57,100,-67,-67,-67,-67,-89,-89,-87,-89,-88,100,100,100,100,100,100,100,100,100,100
4,-4,15,-66,-37,-70,-56,-70,-70,-69,-85,-65,-85,-85,100,-84,-88,-85,-86,-68,-87,-89,-85,-85,-67,-86,-65,-58,100,-57,-56,-57,-55,-89,-89,-87,-89,-88,100,100,100,100,100,100,100,100,100,100
